licenceID,licenceNumber,licensee,channel,frequency,location,gridRefDefault,gridReference,licenceType,status,txrx,suppressed,path,createdAt
421905,NA,TWO DEGREES NETWORKS LIMITED,NA,2165,(BOP-024-038-A)[LKOK]_LAKE OKAREKA PA,LAT_LONG_NZGD2000_D2000,-38.0747267 176.4830057,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421905,NA,TWO DEGREES NETWORKS LIMITED,NA,2165,(BOP-024-038-A)[LKOK]_LAKE OKAREKA,LAT_LONG_NZGD2000_D2000,-38.1682177 176.3734045,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421904,NA,TWO DEGREES NETWORKS LIMITED,NA,798,(BOP-024-038-A)[LKOK]_LAKE OKAREKA PA,LAT_LONG_NZGD2000_D2000,-38.0747267 176.4830057,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421904,NA,TWO DEGREES NETWORKS LIMITED,NA,798,(BOP-024-038-A)[LKOK]_LAKE OKAREKA,LAT_LONG_NZGD2000_D2000,-38.1682177 176.3734045,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421903,NA,TWO DEGREES NETWORKS LIMITED,NA,2152.5,(BOP-024-038-A)[LKOK]_LAKE OKAREKA PA,LAT_LONG_NZGD2000_D2000,-38.0747267 176.4830057,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421903,NA,TWO DEGREES NETWORKS LIMITED,NA,2152.5,(BOP-024-038-A)[LKOK]_LAKE OKAREKA,LAT_LONG_NZGD2000_D2000,-38.1682177 176.3734045,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421902,NA,TWO DEGREES NETWORKS LIMITED,NA,2165,(AKL-004-062-A)[MTKA]_MATAKANA PA,LAT_LONG_NZGD2000_D2000,-36.0875974 175.0422346,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421902,NA,TWO DEGREES NETWORKS LIMITED,NA,2165,(AKL-004-062-A)[MTKA]_MATAKANA,LAT_LONG_NZGD2000_D2000,-36.3631626 174.7150719,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421901,NA,TWO DEGREES NETWORKS LIMITED,NA,1815,(BOP-024-038-A)[LKOK]_LAKE OKAREKA PA,LAT_LONG_NZGD2000_D2000,-38.0747267 176.4830057,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421901,NA,TWO DEGREES NETWORKS LIMITED,NA,1815,(BOP-024-038-A)[LKOK]_LAKE OKAREKA,LAT_LONG_NZGD2000_D2000,-38.1682177 176.3734045,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421900,NA,TWO DEGREES NETWORKS LIMITED,NA,1815,(AKL-004-062-A)[MTKA]_MATAKANA PA,LAT_LONG_NZGD2000_D2000,-36.0875974 175.0422346,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421900,NA,TWO DEGREES NETWORKS LIMITED,NA,1815,(AKL-004-062-A)[MTKA]_MATAKANA,LAT_LONG_NZGD2000_D2000,-36.3631626 174.7150719,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421899,NA,TWO DEGREES NETWORKS LIMITED,NA,2152.5,(AKL-004-062-A)[MTKA]_MATAKANA PA,LAT_LONG_NZGD2000_D2000,-36.0875974 175.0422346,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421899,NA,TWO DEGREES NETWORKS LIMITED,NA,2152.5,(AKL-004-062-A)[MTKA]_MATAKANA,LAT_LONG_NZGD2000_D2000,-36.3631626 174.7150719,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421898,NA,TWO DEGREES NETWORKS LIMITED,NA,3580,(CAN-059-026-A)[RVWD]_RAVENSWOOD PA,LAT_LONG_NZGD2000_D2000,-43.2184583 172.7897194,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421898,NA,TWO DEGREES NETWORKS LIMITED,NA,3580,(CAN-059-026-A)[RVWD]_RAVENSWOOD,LAT_LONG_NZGD2000_D2000,-43.3081750 172.6661474,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421897,NA,TWO DEGREES NETWORKS LIMITED,NA,2165,(CAN-059-026-A)[RVWD]_RAVENSWOOD PA,LAT_LONG_NZGD2000_D2000,-43.2184583 172.7897194,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421897,NA,TWO DEGREES NETWORKS LIMITED,NA,2165,(CAN-059-026-A)[RVWD]_RAVENSWOOD,LAT_LONG_NZGD2000_D2000,-43.3081750 172.6661474,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421896,NA,TWO DEGREES NETWORKS LIMITED,NA,2152.5,(CAN-059-026-A)[RVWD]_RAVENSWOOD PA,LAT_LONG_NZGD2000_D2000,-43.2184583 172.7897194,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421896,NA,TWO DEGREES NETWORKS LIMITED,NA,2152.5,(CAN-059-026-A)[RVWD]_RAVENSWOOD,LAT_LONG_NZGD2000_D2000,-43.3081750 172.6661474,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
